iteration,ratio,objective,residual,left_bc,right_bc
1,1.0000000000e+00,1.2770188791e+01,3.2602026477e-04,1.2640035152e+00,1.2982714921e-02
2,8.5870855785e-01,1.0965870401e+01,2.9018669738e-04,1.0945276022e+00,2.0303954370e-03
3,7.3800996992e-01,9.4245266457e+00,2.6026822161e-04,9.3934106827e-01,3.0855694786e-03
4,6.3782532705e-01,8.1451498423e+00,2.3785272788e-04,7.9887938499e-01,1.5611813404e-02
5,5.5761730622e-01,7.1208782737e+00,2.2515100136e-04,6.7334800959e-01,3.8717314601e-02
6,4.9646828344e-01,6.3399937084e+00,2.2357015405e-04,5.6277865171e-01,7.1198351681e-02
7,4.5305226525e-01,5.7855629596e+00,2.3433295428e-04,4.6704596281e-01,1.1148688942e-01
8,4.2553693423e-01,5.4341869878e+00,2.5885572541e-04,3.8581472635e-01,1.5757809579e-01
9,4.1152518033e-01,5.2552542451e+00,2.9895338230e-04,3.1847828627e-01,2.0701722801e-01
10,4.0809144722e-01,5.2114048251e+00,3.5693732207e-04,2.6412248611e-01,2.5698229671e-01
11,4.1194659555e-01,5.2606357971e+00,4.3553498108e-04,2.2153142095e-01,3.0448859930e-01
12,4.1973504277e-01,5.3600957384e+00,5.3763296455e-04,1.8924704194e-01,3.4670877457e-01
13,4.2841168443e-01,5.4708980905e+00,6.6596141551e-04,1.6568793356e-01,3.8133528829e-01
14,4.3557622524e-01,5.5623906293e+00,8.2284596283e-04,1.4930801094e-01,4.0684875846e-01
15,4.3965384044e-01,5.6144625453e+00,1.0101107182e-03,1.3874348998e-01,4.2260175943e-01
16,4.3989902739e-01,5.6175936288e+00,1.2291497551e-03,1.3289865851e-01,4.2873778939e-01
17,4.3626820561e-01,5.5712273492e+00,1.4810933499e-03,1.3096091151e-01,4.2601370811e-01
18,4.2923235066e-01,5.4813781532e+00,1.7669948284e-03,1.3236157596e-01,4.1559955478e-01
19,4.1958270737e-01,5.3581503867e+00,2.0879744552e-03,1.3670901954e-01,3.9889723063e-01
20,4.0825988326e-01,5.2135557851e+00,2.4453124497e-03,1.4371456206e-01,3.7739649415e-01
21,3.9621760699e-01,5.0597736437e+00,2.8404791374e-03,1.5312471986e-01,3.5256859660e-01
22,3.8431986584e-01,4.9078372431e+00,3.2751273829e-03,1.6466604173e-01,3.2579016685e-01
23,3.7327057345e-01,4.7667356932e+00,3.7510597613e-03,1.7800532281e-01,2.9829314351e-01
24,3.6357059712e-01,4.6428651642e+00,4.2701791972e-03,1.9272698462e-01,2.7113252878e-01
25,3.5549932541e-01,4.5397935007e+00,4.8344228417e-03,2.0832680166e-01,2.4516910315e-01
26,3.4911904120e-01,4.4583160668e+00,5.4456978105e-03,2.2422155738e-01,2.2106547654e-01
27,3.4429909302e-01,4.3967644186e+00,6.1058015563e-03,2.3977343738e-01,1.9929242134e-01
28,3.4075632037e-01,4.3515225430e+00,6.8163652904e-03,2.5432547927e-01,1.8014512956e-01
29,3.3810676593e-01,4.3176872325e+00,7.5788092799e-03,2.6724404097e-01,1.6376678646e-01
30,3.3592355080e-01,4.2898071632e+00,8.3943232894e-03,2.7796375751e-01,1.5017752349e-01
31,3.3379242031e-01,4.2625922244e+00,9.2639010400e-03,2.8602796793e-01,1.3930487633e-01
32,3.3135957143e-01,4.2315242849e+00,1.0188397020e-02,2.9112079740e-01,1.3101279736e-01
33,3.2836663876e-01,4.1933039697e+00,1.1168626137e-02,2.9308670759e-01,1.2512680888e-01
34,3.2466851592e-01,4.1460782429e+00,1.2205495499e-02,2.9193535447e-01,1.2145192921e-01
35,3.2023517890e-01,4.0894636922e+00,1.3300161809e-02,2.8783264756e-01,1.1978371441e-01
36,3.1513790125e-01,4.0243704943e+00,1.4454188757e-02,2.8107970953e-01,1.1991190910e-01
37,3.0952484641e-01,3.9526907243e+00,1.5669707209e-02,2.7208384871e-01,1.2161824852e-01
38,3.0358988290e-01,3.8769001197e+00,1.6949577257e-02,2.6132419705e-01,1.2467086315e-01
39,2.9753952898e-01,3.7996359579e+00,1.8297504634e-02,2.4931634963e-01,1.2881748378e-01
40,2.9156251975e-01,3.7233084217e+00,1.9718147814e-02,2.3657889664e-01,1.3378013670e-01
41,2.8580569614e-01,3.6497926973e+00,2.1217133850e-02,2.2360409796e-01,1.3925345242e-01
42,2.8035819190e-01,3.5802270398e+00,2.2801063955e-02,2.1083435416e-01,1.4490823448e-01
43,2.7524600288e-01,3.5149434209e+00,2.4477422237e-02,1.9864562154e-01,1.5040098131e-01
44,2.7043625790e-01,3.4535220694e+00,2.6254398748e-02,1.8733775616e-01,1.5538901091e-01
45,2.6584973152e-01,3.3949512616e+00,2.8140701354e-02,1.7713148892e-01,1.5954956412e-01
46,2.6137954960e-01,3.3378661945e+00,3.0145294964e-02,1.6817107797e-01,1.6260102391e-01
47,2.5691247914e-01,3.2808208615e+00,3.2277122140e-02,1.6053135693e-01,1.6432301700e-01
48,2.5234840233e-01,3.2225367390e+00,3.4544881433e-02,1.5422670543e-01,1.6457247734e-01
