iteration,ratio,objective,residual,left_bc,right_bc
54,3.5839525495e-01,2.3625287041e+00,7.8368090093e-02,1.1531569809e-01,1.1310036480e-01
55,3.4640415632e-01,2.2834838107e+00,8.3962507546e-02,1.1297655851e-01,1.0697557032e-01
56,3.3451634350e-01,2.2051197737e+00,8.9866325259e-02,1.1012694985e-01,1.0139840096e-01
57,3.2268694888e-01,2.1271408275e+00,9.6082635224e-02,1.0648004711e-01,9.6625767648e-02
58,3.1088396374e-01,2.0493359715e+00,1.0261429846e-01,1.0191244632e-01,9.2759713531e-02
59,2.9912294485e-01,1.9718077555e+00,1.0946515948e-01,9.6490293741e-02,8.9743964374e-02
60,2.8746912583e-01,1.8949861974e+00,1.1664097011e-01,9.0451158583e-02,8.7383367121e-02
61,2.7600692861e-01,1.8194278032e+00,1.2415011227e-01,8.4147311747e-02,8.5380457342e-02
62,2.6479940654e-01,1.7455482185e+00,1.3200369477e-01,7.7967613935e-02,8.3386838436e-02
63,2.5386638199e-01,1.6734781116e+00,1.4021442831e-01,7.2257488966e-02,8.1068880856e-02
64,2.4319588559e-01,1.6031385809e+00,1.4879430830e-01,6.7254520953e-02,7.8179910779e-02
65,2.3277881881e-01,1.5344696492e+00,1.5775136650e-01,6.3051365316e-02,7.4620462954e-02
66,2.2263833372e-01,1.4676239341e+00,1.6708628833e-01,5.9590488672e-02,7.0463277400e-02
67,2.1282934928e-01,1.4029634595e+00,1.7679041624e-01,5.6686624885e-02,6.5930679440e-02
68,2.0340963266e-01,1.3408690244e+00,1.8684615195e-01,5.4072011262e-02,6.1330277473e-02
69,1.9440882133e-01,1.2815359980e+00,1.9722874463e-01,5.1459021866e-02,5.6971706450e-02
70,1.8582324875e-01,1.2249402106e+00,2.0791009068e-01,4.8613268882e-02,5.3089741617e-02
71,1.7763993737e-01,1.1709961146e+00,2.1886239946e-01,4.5417819172e-02,4.9795553088e-02
72,1.6986636946e-01,1.1197530329e+00,2.3006123304e-01,4.1904978454e-02,4.7064200044e-02
73,1.6253648874e-01,1.0714347214e+00,2.4148751795e-01,3.8239922374e-02,4.4754795730e-02
74,1.5568839375e-01,1.0262923241e+00,2.5312757492e-01,3.4662239254e-02,4.2654234916e-02
75,1.4933717335e-01,9.8442530632e-01,2.6497089863e-01,3.1408667564e-02,4.0536772460e-02
76,1.4347014386e-01,9.4575005770e-01,2.7700480819e-01,2.8644768521e-02,3.8229756057e-02
77,1.3806760271e-01,9.1013669968e-01,2.8920757771e-01,2.6425980031e-02,3.5666931421e-02
78,1.3312498596e-01,8.7755514681e-01,3.0154186487e-01,2.4694515392e-02,3.2906811684e-02
79,1.2865155489e-01,8.4806644917e-01,3.1395292282e-01,2.3306751624e-02,3.0104599893e-02
80,1.2464859347e-01,8.2167907059e-01,3.2637232542e-01,2.2080607712e-02,2.7450067922e-02
81,1.2109427426e-01,7.9824912548e-01,3.3872535825e-01,2.0852878690e-02,2.5099497288e-02
82,1.1795257840e-01,7.7753917873e-01,3.5094028711e-01,1.9530721009e-02,2.3129168898e-02
83,1.1519443129e-01,7.5935757160e-01,3.6295548081e-01,1.8117435277e-02,2.1522773430e-02
84,1.1280415859e-01,7.4360097945e-01,3.7472313643e-01,1.6698945314e-02,2.0188840106e-02
85,1.1076559996e-01,7.3016287386e-01,3.8620868325e-01,1.5397840180e-02,1.8997577950e-02
86,1.0904691620e-01,7.1883337200e-01,3.9738377929e-01,1.4318364672e-02,1.7826594412e-02
87,1.0760480736e-01,7.0932704210e-01,4.0821689367e-01,1.3507716358e-02,1.6603298485e-02
88,1.0640090591e-01,7.0139096677e-01,4.1866385937e-01,1.2945441529e-02,1.5327268280e-02
89,1.0540847008e-01,6.9484886527e-01,4.2866432667e-01,1.2557503767e-02,1.4060950838e-02
90,1.0460245462e-01,6.8953564018e-01,4.3814757466e-01,1.2245102786e-02,1.2893703766e-02
91,1.0394913055e-01,6.8522895128e-01,4.4704368711e-01,1.1918892153e-02,1.1899634264e-02
92,1.0341075198e-01,6.8167997897e-01,4.5529666543e-01,1.1528575793e-02,1.1109756306e-02
93,1.0295761248e-01,6.7869289964e-01,4.6287333965e-01,1.1075683869e-02,1.0506272316e-02
94,1.0257044128e-01,6.7614068091e-01,4.6976560354e-01,1.0602849536e-02,1.0034658015e-02
95,1.0223159739e-01,6.7390703410e-01,4.7598478198e-01,1.0166458786e-02,9.6257664263e-03
96,1.0191939580e-01,6.7184901237e-01,4.8155045509e-01,9.8086390644e-03,9.2212166637e-03
97,1.0161363438e-01,6.6983344406e-01,4.8647865653e-01,9.5417043194e-03,8.7937740609e-03
98,1.0130266364e-01,6.6778353602e-01,4.9077445269e-01,9.3473698944e-03,8.3535378799e-03
99,1.0098170937e-01,6.6566781700e-01,4.9443343282e-01,9.1867446899e-03,7.9366937280e-03
100,1.0064592281e-01,6.6345432401e-01,4.9745082855e-01,9.0162018314e-03,7.5841476209e-03
101,1.0028893499e-01,6.6110107303e-01,4.9983301759e-01,8.8046044111e-03,7.3222015053e-03
102,9.9907629792e-02,6.5858752280e-01,5.0160515308e-01,8.5452813655e-03,7.1529559791e-03
103,9.9504727740e-02,6.5593160689e-01,5.0281327963e-01,8.2565676421e-03,7.0552644320e-03
104,9.9084865128e-02,6.5316388756e-01,5.0351792574e-01,7.9707670957e-03,6.9938292727e-03
105,9.8650813332e-02,6.5030263364e-01,5.0378382206e-01,7.7186175622e-03,6.9332635030e-03
106,9.8204595503e-02,6.4736118168e-01,5.0366860628e-01,7.5170286000e-03,6.8522286601e-03
107,9.7750814029e-02,6.4436987042e-01,5.0321686268e-01,7.3642847128e-03,6.7510157824e-03
108,9.7295923777e-02,6.4137125015e-01,5.0246018171e-01,7.2426274419e-03,6.6484794952e-03
109,9.6845225630e-02,6.3840026408e-01,5.0142455101e-01,7.1269976906e-03,6.5705738962e-03
110,9.6401741881e-02,6.3547683507e-01,5.0013834238e-01,6.9966753945e-03,6.5371738747e-03
111,9.5968460917e-02,6.3262066245e-01,4.9863952398e-01,6.8449266255e-03,6.5531870350e-03
112,9.5549282107e-02,6.2985745072e-01,4.9697530270e-01,6.6813915037e-03,6.6068232991e-03
113,9.5147690017e-02,6.2721017003e-01,4.9519863725e-01,6.5262462012e-03,6.6749076359e-03
114,9.4765269262e-02,6.2468926609e-01,4.9336043000e-01,6.3998489641e-03,6.7330342717e-03
115,9.4402397344e-02,6.2229722738e-01,4.9150171876e-01,6.3133193180e-03,6.7662317306e-03
116,9.4059750156e-02,6.2003850937e-01,4.8965039849e-01,6.2640421093e-03,6.7747686990e-03
117,9.3738131305e-02,6.1791840941e-01,4.8782262206e-01,6.2373876572e-03,6.7721912637e-03
118,9.3437353736e-02,6.1593569443e-01,4.8602840304e-01,6.2136654742e-03,6.7770639434e-03
119,9.3156120484e-02,6.1408181489e-01,4.8427802324e-01,6.1771506444e-03,6.8032285199e-03
120,9.2893036818e-02,6.1234757677e-01,4.8258659244e-01,6.1229174025e-03,6.8531809375e-03
121,9.2647143154e-02,6.1072665453e-01,4.8097485304e-01,6.0579217970e-03,6.9172582589e-03
122,9.2417278159e-02,6.0921139270e-01,4.7946533561e-01,5.9961965308e-03,6.9784088992e-03
123,9.2201668466e-02,6.0779010132e-01,4.7807782888e-01,5.9509333223e-03,7.0202942006e-03
124,9.1998386432e-02,6.0645007342e-01,4.7682425380e-01,5.9278518893e-03,7.0347301662e-03
125,9.1805969511e-02,6.0518166795e-01,4.7570714355e-01,5.9226495214e-03,7.0248027332e-03
126,9.1623249021e-02,6.0397718102e-01,4.7472155094e-01,5.9233522043e-03,7.0022107102e-03
127,9.1448829666e-02,6.0282741487e-01,4.7385933995e-01,5.9161498211e-03,6.9806575775e-03
128,9.1281238729e-02,6.0172266141e-01,4.7311401367e-01,5.8918786235e-03,6.9689862430e-03
129,9.1119338611e-02,6.0065542161e-01,4.7248327732e-01,5.8498866856e-03,6.9673275575e-03
130,9.0962355088e-02,5.9962059185e-01,4.7196912766e-01,5.7974015363e-03,6.9677452557e-03
131,9.0809615662e-02,5.9861373901e-01,4.7157496214e-01,5.7451166213e-03,6.9587612525e-03
132,9.0660307116e-02,5.9762950242e-01,4.7130158544e-01,5.7015097700e-03,6.9312816486e-03
133,9.0513850760e-02,5.9666406736e-01,4.7114470601e-01,5.6688841432e-03,6.8830517121e-03
134,9.0369990593e-02,5.9571574628e-01,4.7109434009e-01,5.6427652016e-03,6.8193757907e-03
135,9.0228522605e-02,5.9478319436e-01,4.7113651037e-01,5.6146546267e-03,6.7500136793e-03
136,9.0089256913e-02,5.9386515990e-01,4.7125720978e-01,5.5766347796e-03,6.6841603257e-03
137,8.9952012676e-02,5.9296045080e-01,4.7144532204e-01,5.5252914317e-03,6.6262213513e-03
138,8.9816765029e-02,5.9206890315e-01,4.7169369459e-01,5.4631517269e-03,6.5743690357e-03
139,8.9683619086e-02,5.9119120985e-01,4.7199866176e-01,5.3970115259e-03,6.5222433768e-03
140,8.9552617231e-02,5.9032765031e-01,4.7235718369e-01,5.3342171013e-03,6.4628296532e-03
141,8.9423708038e-02,5.8947788551e-01,4.7276389599e-01,5.2791144699e-03,6.3922842965e-03
142,8.9296969493e-02,5.8864242956e-01,4.7321021557e-01,5.2313213237e-03,6.3119004481e-03
143,8.9172513492e-02,5.8782202005e-01,4.7368437052e-01,5.1865228452e-03,6.2272422947e-03
144,8.9050372812e-02,5.8701687306e-01,4.7417354584e-01,5.1391688175e-03,6.1451639049e-03
145,8.8930540107e-02,5.8622694016e-01,4.7466689348e-01,5.0855679438e-03,6.0704364441e-03
146,8.8813009160e-02,5.8545218036e-01,4.7515687346e-01,5.0257691182e-03,6.0037616640e-03
147,8.8697783362e-02,5.8469261602e-01,4.7563922405e-01,4.9633258022e-03,5.9420135804e-03
148,8.8584833327e-02,5.8394805342e-01,4.7611197829e-01,4.9032405950e-03,5.8803670108e-03
149,8.8474069198e-02,5.8321790025e-01,4.7657263279e-01,4.8493859358e-03,5.8151409030e-03
