iteration,Objective function,residual,left_bc,right_bc
1,8.876129763200879,0.019258039072155952,0.2750065326690674,0.6106806397438049
2,8.502373956143856,0.021873973309993744,0.2664029598236084,0.5816470384597778
3,8.139660470187664,0.024684779345989227,0.25802403688430786,0.5534735321998596
4,7.7881904151290655,0.02767833136022091,0.2498571127653122,0.5261940956115723
5,7.448102151975036,0.030833249911665916,0.24187974631786346,0.4998471438884735
6,7.119454946368933,0.03413354977965355,0.2340843826532364,0.47444775700569153
7,6.802261549979448,0.03757857158780098,0.2264869660139084,0.44998133182525635
8,6.496503986418247,0.041168518364429474,0.21910099685192108,0.4264325499534607
9,6.202147047966719,0.044899921864271164,0.21193277835845947,0.4037919342517853
10,5.9191527254879475,0.04876606538891792,0.20498430728912354,0.3820543587207794
11,5.64749089255929,0.052756939083337784,0.19825494289398193,0.3612184524536133
12,5.387136802077293,0.056859418749809265,0.1917424499988556,0.3412852883338928
13,5.138072911649942,0.061057303100824356,0.1854439526796341,0.3222576081752777
14,4.900281682610512,0.06533141434192657,0.17935645580291748,0.30413857102394104
15,4.673739433288574,0.06965985894203186,0.17347727715969086,0.2869306802749634
16,4.458409771323204,0.07401905953884125,0.16780498623847961,0.27063408493995667
17,4.254237987101078,0.07838515192270279,0.16234001517295837,0.25524526834487915
18,4.061147548258305,0.08273539692163467,0.1570848524570465,0.24075636267662048
19,3.8790414556860924,0.08704923838376999,0.1520441621541977,0.22715505957603455
20,3.707796595990658,0.09130876511335373,0.14722394943237305,0.21442483365535736
21,3.5472653061151505,0.09549833834171295,0.14263078570365906,0.2025459110736847
22,3.397275224328041,0.0996042937040329,0.13827116787433624,0.19149592518806458
23,3.257625952363014,0.10361413657665253,0.1341506987810135,0.18125048279762268
24,3.1280907467007637,0.10751599818468094,0.1302737444639206,0.17178373038768768
25,3.0084154158830643,0.11129812896251678,0.12664319574832916,0.16306853294372559
26,2.898315131664276,0.11494868993759155,0.12326028943061829,0.15507635474205017
27,2.7974777072668076,0.1184556782245636,0.1201247051358223,0.1477774977684021
28,2.705562897026539,0.12180697172880173,0.11723455041646957,0.14114104211330414
29,2.622202880680561,0.12499036639928818,0.11458650976419449,0.1351347416639328
