iteration,mse-interpolation
1,0.3754984736442566
100,0.0500149168074131
200,0.045043837279081345
300,0.04373854398727417
400,0.04352601245045662
500,0.0434534065425396
600,0.04341011121869087
700,0.04338289797306061
800,0.04337043687701225
900,0.04338093101978302
1000,0.043441738933324814
