iteration,residual,left_bc,right_bc,mrae,max_error
10,0.0052335928194224834,1.0237449407577515,0.011199946515262127,1.0503045320510864,1.0386000871658325
20,0.0017424263060092926,0.7678802013397217,0.020003296434879303,0.9888973832130432,0.8703919053077698
30,0.00994538888335228,0.5553140044212341,0.035222698003053665,0.9379544854164124,0.7974549531936646
40,0.027873294427990913,0.38848960399627686,0.05481394752860069,0.8943655490875244,0.7302562594413757
50,0.05216477811336517,0.26815086603164673,0.07485073804855347,0.8558127880096436,0.6676468849182129
60,0.07791866362094879,0.19034218788146973,0.09041105955839157,0.8221535086631775,0.614276647567749
70,0.09907566756010056,0.1461193710565567,0.09881951659917831,0.7955469489097595,0.5736058354377747
80,0.11087202280759811,0.12453281879425049,0.10144010931253433,0.7794133424758911,0.5457149147987366
90,0.11359883844852448,0.11610566824674606,0.10087163001298904,0.7728391885757446,0.5273224711418152
100,0.11163336783647537,0.11393053084611893,0.09864192456007004,0.7709326148033142,0.5138492584228516
110,0.10896694660186768,0.11337564140558243,0.09578318148851395,0.7696672081947327,0.5014793276786804
120,0.1072520911693573,0.11193636804819107,0.09323962032794952,0.7677018642425537,0.4881361126899719
130,0.10663706809282303,0.10900547355413437,0.09137053042650223,0.7650643587112427,0.4734026789665222
140,0.10677298903465271,0.10511542856693268,0.08993840962648392,0.7619616389274597,0.45781469345092773
150,0.10719817876815796,0.10103309899568558,0.08863144367933273,0.7587060928344727,0.4420965909957886
160,0.10754615813493729,0.09724518656730652,0.08732552826404572,0.7556812763214111,0.43454644083976746
170,0.10769599676132202,0.09388913214206696,0.08599638938903809,0.7529844045639038,0.4336857199668884
180,0.107711061835289,0.09089123457670212,0.084647998213768,0.7504630088806152,0.433740496635437
190,0.10768033564090729,0.08812548220157623,0.08331307023763657,0.747963011264801,0.43454790115356445
200,0.10765005648136139,0.08551213145256042,0.08202172070741653,0.7454888820648193,0.4360085725784302
210,0.1076318547129631,0.08303453028202057,0.08077602088451385,0.7429806590080261,0.4380297064781189
220,0.10761863738298416,0.0807071104645729,0.07956624031066895,0.7404417991638184,0.4406660199165344
230,0.10760215669870377,0.0785422995686531,0.07838639616966248,0.7378168106079102,0.44386130571365356
240,0.10758547484874725,0.07653819024562836,0.07723364979028702,0.7351062297821045,0.44741177558898926
250,0.1075788289308548,0.07468308508396149,0.07610783725976944,0.7322900295257568,0.45076102018356323
260,0.10759194195270538,0.07296408712863922,0.07501038908958435,0.7293440699577332,0.45384681224823
270,0.10763170570135117,0.07137148827314377,0.07394187152385712,0.7262488007545471,0.4566391110420227
280,0.10770165920257568,0.06989861279726028,0.07290240377187729,0.7229856252670288,0.4591401219367981
290,0.10780332237482071,0.06853928416967392,0.07189247757196426,0.7195627093315125,0.46135783195495605
300,0.10793664306402206,0.06728671491146088,0.0709133893251419,0.7159771919250488,0.46330466866493225
310,0.10809935629367828,0.0661339983344078,0.06996725499629974,0.7122406959533691,0.46499720215797424
320,0.10828710347414017,0.06507467478513718,0.06905615329742432,0.708397388458252,0.4664568305015564
330,0.10849303007125854,0.06410293281078339,0.06818261742591858,0.7044711709022522,0.467708557844162
340,0.10870908945798874,0.06321326643228531,0.06734886765480042,0.7004833221435547,0.4687793254852295
350,0.1089264452457428,0.06240026652812958,0.06655700504779816,0.696457028388977,0.46969667077064514
360,0.10913635045289993,0.061658795922994614,0.06580863147974014,0.6924116015434265,0.47048717737197876
370,0.1093309074640274,0.06098364293575287,0.06510483473539352,0.6883671879768372,0.47117504477500916
380,0.109503835439682,0.06036962568759918,0.06444579362869263,0.6843475699424744,0.47178149223327637
390,0.10965040326118469,0.05981164425611496,0.06383120268583298,0.6803815364837646,0.47232428193092346
400,0.1097680851817131,0.059304602444171906,0.0632598027586937,0.6764687299728394,0.47281715273857117
410,0.10985593497753143,0.058843519538640976,0.06272988766431808,0.6726178526878357,0.47327083349227905
420,0.10991448909044266,0.058423612266778946,0.06223941966891289,0.668831467628479,0.47369346022605896
430,0.10994566231966019,0.05804038792848587,0.06178576126694679,0.665116012096405,0.4740906059741974
440,0.1099519357085228,0.0576896034181118,0.061366427689790726,0.6614718437194824,0.47446686029434204
450,0.10993603616952896,0.057367533445358276,0.060978859663009644,0.6578971743583679,0.47482603788375854
460,0.109901063144207,0.057070884853601456,0.06062036752700806,0.6543936729431152,0.4751715660095215
470,0.10984967648983002,0.056796781718730927,0.0602886825799942,0.6509603261947632,0.47550663352012634
480,0.10978446155786514,0.0565427727997303,0.059981558471918106,0.6475985646247864,0.47583436965942383
490,0.10970772057771683,0.05630674958229065,0.0596969798207283,0.6443136930465698,0.476157546043396
500,0.10962136834859848,0.056087106466293335,0.05943295359611511,0.6411081552505493,0.47647935152053833
510,0.10952692478895187,0.0558822900056839,0.05918797478079796,0.6379839181900024,0.4768107533454895
520,0.10942575335502625,0.05569121986627579,0.05896035581827164,0.634943962097168,0.47717270255088806
530,0.10931897163391113,0.05551283434033394,0.05874873697757721,0.6319901347160339,0.47753700613975525
540,0.10920755565166473,0.05534621700644493,0.05855172127485275,0.6291248798370361,0.47790393233299255
550,0.10909202694892883,0.05519060418009758,0.05836836248636246,0.6263495087623596,0.4782731235027313
560,0.10897330194711685,0.055045437067747116,0.05819714441895485,0.6236648559570312,0.47864392399787903
