iteration,residual,left_bc,right_bc,mrae,max_error
10,0.0052335928194224834,1.0237449407577515,0.011199947446584702,1.0503045320510864,1.0386000871658325
20,0.00174242677167058,0.7678802013397217,0.020003288984298706,0.988897442817688,0.8703919053077698
30,0.009945385158061981,0.5553140044212341,0.035222698003053665,0.9379544854164124,0.7974549531936646
40,0.02787323296070099,0.38848960399627686,0.05481397360563278,0.8943655490875244,0.7302562594413757
50,0.05216464400291443,0.26815101504325867,0.07485075294971466,0.8558127880096436,0.6676468849182129
60,0.07791851460933685,0.19034232199192047,0.09041094034910202,0.8221533298492432,0.6142767071723938
70,0.09907558560371399,0.14611952006816864,0.0988192930817604,0.7955465912818909,0.5736058950424194
80,0.11087200045585632,0.12453296035528183,0.10143981128931046,0.7794128060340881,0.5457149744033813
90,0.11359871923923492,0.11610578745603561,0.10087143629789352,0.7728390097618103,0.5273224711418152
100,0.1116333082318306,0.11393065750598907,0.09864170104265213,0.7709321975708008,0.5138492584228516
110,0.10896691679954529,0.11337577551603317,0.09578295797109604,0.7696670293807983,0.5014793872833252
120,0.1072520837187767,0.1119365245103836,0.09323938935995102,0.7677016854286194,0.4881361722946167
130,0.10663704574108124,0.10900560766458511,0.0913703516125679,0.7650643587112427,0.4734026789665222
140,0.1067730113863945,0.10511557757854462,0.08993817120790482,0.7619615197181702,0.4578147530555725
150,0.10719826072454453,0.10103321820497513,0.08863121271133423,0.7587059736251831,0.44209665060043335
160,0.10754622519016266,0.09724533557891846,0.08732537925243378,0.7556814551353455,0.4345468282699585
170,0.10769602656364441,0.09388928860425949,0.08599627763032913,0.7529848217964172,0.43368613719940186
180,0.10771115869283676,0.09089143574237823,0.08464783430099487,0.7504631876945496,0.43374115228652954
190,0.10768041759729385,0.08812572062015533,0.08331292867660522,0.7479633688926697,0.434548556804657
200,0.10765013843774796,0.08551235496997833,0.08202162384986877,0.7454894781112671,0.4360089898109436
210,0.10763192921876907,0.08303477615118027,0.08077595382928848,0.7429813742637634,0.43803030252456665
220,0.10761870443820953,0.08070738613605499,0.07956619560718536,0.7404425740242004,0.4406664967536926
230,0.10760226100683212,0.07854260504245758,0.07838635891675949,0.7378177046775818,0.44386184215545654
240,0.10758551210165024,0.07653852552175522,0.07723364979028702,0.7351075410842896,0.44741225242614746
250,0.10757890343666077,0.07468346506357193,0.07610783725976944,0.7322912812232971,0.450761616230011
260,0.10759200900793076,0.07296442985534668,0.07501047104597092,0.7293455600738525,0.4538472294807434
270,0.10763172805309296,0.0713718980550766,0.07394197583198547,0.726250410079956,0.4566396474838257
280,0.10770170390605927,0.0698990449309349,0.07290249317884445,0.7229874134063721,0.4591406583786011
290,0.10780332237482071,0.06853969395160675,0.07189266383647919,0.7195647358894348,0.46135827898979187
300,0.10793664306402206,0.06728718429803848,0.07091358304023743,0.7159794569015503,0.4633052349090576
310,0.1080993115901947,0.06613443046808243,0.06996750086545944,0.7122431397438049,0.46499764919281006
320,0.10828707367181778,0.06507515162229538,0.06905639916658401,0.7083998918533325,0.46645742654800415
